PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
30244317,NANOG,TF,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"Stem cell transcription factors such as OCT4,NANOG, and SOX2",PROM1;CD44,CL_0000034
30244317,SOX2,TF,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"Stem cell transcription factors such as OCT4,NANOG, and SOX2",PROM1;CD44,CL_0000034
30244317,POU5F1,TF,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"Stem cell transcription factors such as OCT4, NANOG, and SOX2",CD44,CL_0000034
30244317,NANOG,TF,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"Stem cell transcription factors such as OCT4, NANOG, and SOX2",CD44,CL_0000034
30244317,SOX2,TF,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"Stem cell transcription factors such as OCT4, NANOG, and SOX2",CD44,CL_0000034
30244317,NANOG,TF,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"In Cancer stem cell,Stem cell transcription factors such as OCT4, Nanog, and SOX2",POU5F1;SOX2,CL_0000034
30244317,SOX2,TF,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"In Cancer stem cell,Stem cell transcription factors such as OCT4, Nanog, and SOX2",NANOG;POU5F1,CL_0000034
30261343,FOXO1,TF,Liver Carcinoma cell,Cancer cell,Liver,low-throughput,qRT-PCR;Weston blot;Immunofluorescent staining,Nuclear trapping of inactive FOXO1 by the Nrf2 activator diethyl maleate,FOXO1 is a stress-responsive transcription factors expressed in Liver Carcinoma cell.,GABPA,
30261343,GABPA,TF,Liver Carcinoma cell,Cancer cell,Liver,low-throughput,qRT-PCR;Weston blot;Immunofluorescent staining,Nuclear trapping of inactive FOXO1 by the Nrf2 activator diethyl maleate,Nrf2 is a stress-responsive transcription factors expressed in Liver Carcinoma cell.,FOXO1,
30277012,MITF,TF,Melanoma cell,Cancer cell,Skin,low-throughput + high-throughput,RNA-seq;Weston blot;Immunofluorescent staining;ChIP qRT-PCR,A PAX3/BRN2 rheostat controls the dynamics of BRAF mediated MITF regulation in MITF high /AXL low cc,"Transcription factor MITF, a crucial regulator of cell survival and proliferation in untreated as well as drug-addicted acquired resistant melanoma",POU3F2;PAX3,
30277012,PAX3,TF,Melanoma cell,Cancer cell,Skin,low-throughput + high-throughput,RNA-seq;Weston blot;Immunofluorescent staining;ChIP qRT-PCR,A PAX3/BRN2 rheostat controls the dynamics of BRAF mediated MITF regulation in MITF high /AXL low melanoma,PAX3 is a transcription factor expressed in Melanoma cell and regulated by transcription factor MITF.,MITF,
30277012,POU3F2,TF,Melanoma cell,Cancer cell,Skin,low-throughput + high-throughput,RNA-seq;Weston blot;Immunofluorescent staining;ChIP qRT-PCR,A PAX3/BRN2 rheostat controls the dynamics of BRAF mediated MITF regulation in MITF high /AXL low melanoma,POU3F2 is a transcription factor expressed in Melanoma cell and regulated by transcription factor MITF.,MITF,
30280407,AR,TF,Prostate Carcinoma cell,Cancer cell,Prostate,low-throughput,Weston blot;qRT-PCR,Riluzole induces AR degradation via endoplasmic reticulum stress pathway in androgen-dependent and castration-resistant prostate cancer cells,"AR is a transcription factor expressed in Prostate Carcinoma cell.Androgen-dependent transcription factors androgen receptors drive prostate cancer, but inhibition of prostate cancer or androgen biosynthesis induces remission only for a short time",NPEPPS;TMPRSS2;KLK2,
30280445,MIR200C,TF,Aortic aneurysm cell,Cancer cell,Aorta,low-throughput,Weston blot;Microscopic observation;qRT-PCR;Immunohistochemistry;ChIP-qRT-PCR,The mir-200 family regulates key pathogenic events in ascending aortas of individuals with bicuspid aortic valves,"QRT-PCR and ChIP analyses showed lower expression of miR-200c, higher expression of miR-200 target genes, ZEB1/ZEB2 transcription factors, and higher chromatin occupancy of the miR-200c promoter by ZEB1/ZEB2 in  bicuspid aortic valve(BAV) patients, indicating a miR-200c/ZEBs negative feedback loop and induction of endothelial/epithelial mesenchymal transition (EndMT/EMT).",ZEB2;ZEB1,
30287812,SMARCA4,TF,Stem cell,Cancer cell,Lung,low-throughput,Weston blot;Immunofluorescent staining;Immunoblotting;qRT-PCR,DNA damage sensitivity of SWI/SNF-deficient cells depends on TFIIH subunit p62/GTF2H1,"Here, we show that the SWI/SNF ATPases BRM/SMARCA2 and BRG1/SMARCA4 promote the expression of p62/GTF2H1, a core subunit of the transcription factor IIH (TFIIH) complex.",GTF2H1,CL_0000034
30297536,CDK1,TF,Human melanoma cell,Cancer cell,Skin,low-throughput + high-throughput,Flow cytometry;Gene knock down;Immunofluorescent staining;Microscopic observation;RNA-seq;qPCR,CDK1 Interacts with Sox2 and Promotes Tumor Initiation in Human Melanoma,These findings uncover CDK1 as a new regulator of Sox2 during tumor initiation and implicate the CDK1-Sox2 interaction as a potential therapeutic target in cancer.,SOX2,
30312729,IKZF1,TF,Bone marrow cell,Cancer cell,Bone marrow,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Pan-PIM kinase inhibitors enhance Lenalidomide's anti-myeloma activity via cereblon-IKZF1/3 cascade,Transcription factors IKZF1/3 essential for the survival of myeloma cells,,
30312729,IKZF3,TF,Bone marrow cell,Cancer cell,Bone marrow,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Pan-PIM kinase inhibitors enhance Lenalidomide's anti-myeloma activity via cereblon-IKZF1/3 cascade,Transcription factors IKZF1/3 essential for the survival of myeloma cells,,
30312729,ZEB1,TF,Bone marrow cell,Cancer cell,Bone marrow,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Pan-PIM kinase inhibitors enhance Lenalidomide's anti-myeloma activity via cereblon-IKZF1/3 cascade,"LANA expression results in upregulation of the cellular intermediate filament protein vimentin and transcription factor TCF8/ZEB1 and downregulation of tight junction protein ZO1 and adhesion protein E-cadherin. LANA co-localizes with TCF8/ZEB1, a major contributor in EMT, further suggesting an important role for LANA in epithelial-to-mesenchymal transition of KSHV-infected cancer cells",,
30341688,SNAI1,TF,Osteosarcoma ,Cancer cell,Bone,low-throughput + high-throughput,Weston blot;qRT‑PCR;RNA-seq;Microscopic observation,G-protein-coupled estrogen receptor suppresses the migration of osteosarcoma cells via post-translational regulation of Snail,"Overexpression of SNAI1 can attenuate the suppression effects of G-1 on migration of OS cells, suggesting that SNAI1 was involved in GPER-regulated migration of OS cells.",FBXL5;GPER1,
30343113,STAT3,TF,Bone cell,Cancer cell,Bone,low-throughput + high-throughput,RNA-seq;Weston blot;qRT-PCR;Gene knock down;Flow-throughput cytometry;Microscopic observation,Tumor-associated macrophages promote lung metastasis and induce epithelial-mesenchymal transition in osteosarcoma by activating the COX-2/STAT3 axis,STAT3 Related to tumor-associated macrophages,COX2,CL_0000137
30343491,SNAI1,TF,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput,Weston blot;RT-qPCR;Gene knock down,"TRPM4 channel is involved in regulating epithelial to mesenchymal transition, migration, and invasion of prostate cancer cell lines","This study suggests a new and indirect mechanism of regulation of migration/invasion process by TRPM4 in prostate cancer cells, by inducing the expression of SNAI1 gene and consequently, increasing the EMT.",TRPM4,CL_0001064
30368884,TWIST1,TF,Thyroid Tumor cell,Cancer cell,Thyroid,low-throughput,Immunohistochemistry;Immunofluorescent staining;Microscopic observation,"Expression of epithelial-mesenchymal transition regulators TWIST, SLUG and SNAIL in follicular thyroid tumours may relate to widely invasive, poorly differentiated and distant metastasis",TWIST1 is a transcription factor expressed in Thyroid Tumor cell.Involved in epithelial stroma in follicular thyroid neoplasms,SNAI1;SNAI2,
30368884,SNAI2,TF,Thyroid Tumor cell,Cancer cell,Thyroid,low-throughput,Immunohistochemistry;Immunofluorescent staining;Microscopic observation,"Expression of epithelial-mesenchymal transition regulators TWIST, SLUG and SNAIL in follicular thyroid tumours may relate to widely invasive, poorly differentiated and distant metastasis",SNAI2 is a transcription factor expressed in Thyroid Tumor cell.Involved in epithelial stroma in follicular thyroid neoplasms,TWIST1,
30368884,SNAI1,TF,Thyroid Tumor cell,Cancer cell,Thyroid,low-throughput,Immunohistochemistry;Immunofluorescent staining;Microscopic observation,"Expression of epithelial-mesenchymal transition regulators TWIST, SLUG and SNAIL in follicular thyroid tumours may relate to widely invasive, poorly differentiated and distant metastasis",SNAI1 is a transcription factor expressed in Thyroid Tumor cell.Involved in epithelial stroma in follicular thyroid neoplasms,TWIST1,
30381489,KLF4,TF,Papilloma cell,Cancer cell,Breast,low-throughput,qPCR;qRT-PCR;RT-qPCR;Immunofluorescent staining,Inhibition of Epstein-Barr Virus Replication in Human Papillomavirus-Immortalized Keratinocytes,KLF4 is a transcription factor expressed in Papilloma cell.,PRDM1,
30381489,PRDM1,TF,Papilloma cell,Cancer cell,Breast,low-throughput,qPCR;qRT-PCR;RT-qPCR;Immunofluorescent staining,Inhibition of Epstein-Barr Virus Replication in Human Papillomavirus-Immortalized Keratinocytes,PRDM1 is a transcription factor expressed in Papilloma cell.,KLF4,
30392435,PLAG1,TF,Gland cell,Cancer cell,Salivary gland,low-throughput + high-throughput,ChIP-seq;ATAC-seq;RNA-seq;DNA-seq;Immunohistochemical staining,Integrated Epigenetic Mapping of Human and Mouse Salivary Gene Regulation,"PLAG1 is a transcription factor expressed in Salivary gland cell,associated with salivary gland tumors",MYB,
30401477,SOX9,TF,Cartilage cell,Cancer cell,Bone,low-throughput + high-throughput,Immunohistological;TEM;PCR;Sequencing technique,Amniotic fluid: Source of valuable mesenchymal stem cells and alternatively used as cryopreserved solution,"SOX9 is a transcription factor,which had been observed when the post-thawed cells were cultivated with chondrogenic-induced medium, which represented the chondrogenic differentiation potency of these cryopreserved cells.",CD44,CL_0000138
30403311,SOX2,TF,Stem cell,Cancer cell,Brain,low-throughput,Western blot;Immunofluorescent staining;qPCR,"Regulation of glioma cell invasion by 3q26 gene products PIK3CA, SOX2 and OPA1",SOX2 is a transcription factor expressed in Glioma cell.SOX2 activates PI3K/AKT signaling in a positive feedback loop,PIK3CA,CL_0000034
30406421,FLI1,TF,Small round cell,Cancer cell,Brain,low-throughput + high-throughput,Immunohistochemistry;Microscopic observation;Survival analysis,Intracranial Ewing sarcoma with whole genome study,FLI-1 is a transcription factor expressed in Small round cell.,EWSR1;CD99,
30411296,ZNF354C,TF,Osteosarcoma cell,Cancer cell,Bone,high-throughput,DNA-seq,Identification of Differentially Expressed Genes under the Regulation of Transcription Factors in Osteosarcoma,ZNF354C is a transcription factor expressed in Osteocyte cell.,,
30411296,NFIC,TF,Osteosarcoma cell,Cancer cell,Bone,high-throughput,DNA-seq,Identification of Differentially Expressed Genes under the Regulation of Transcription Factors in Osteosarcoma,NFIC is a transcription factor expressed in Osteocyte cell.,,
30411296,RREB1,TF,Osteosarcoma cell,Cancer cell,Bone,high-throughput,DNA-seq,Identification of Differentially Expressed Genes under the Regulation of Transcription Factors in Osteosarcoma,RREB1 is a transcription factor expressed in Osteocyte cell.,,
30411296,SRF,TF,Osteosarcoma cell,Cancer cell,Bone,high-throughput,DNA-seq,Identification of Differentially Expressed Genes under the Regulation of Transcription Factors in Osteosarcoma,SRF is a transcription factor expressed in Osteocyte cell.,,
30411296,EGR2,TF,Osteosarcoma cell,Cancer cell,Bone,high-throughput,DNA-seq,Identification of Differentially Expressed Genes under the Regulation of Transcription Factors in Osteosarcoma,EGR2 is a transcription factor expressed in Osteocyte cell.,,
30419422,BPTF,TF,Hepatocyte cell,Cancer cell,Liver,low-throughput + high-throughput,Flow cytometry;ChIP;Immunohistochemistry;PCR;Microscopic observation;Weston blot,BPTF promotes hepatocellular carcinoma growth by modulating hTERT signaling and cancer stem cell traits,BPTF promotes HCC growth by targeting hTERT and suggest that the BPTF-hTERT axis maybe a novel and potential therapeutic target in HCC.,,CL_0000182
30419422,BPTF,TF,Liver Carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,Flow cytometry;ChIP;Immunohistochemistry;PCR;Microscopic observation;Weston blot,BPTF promotes hepatocellular carcinoma growth by modulating hTERT signaling and cancer stem cell traits,BPTF promotes HCC growth by targeting hTERT and suggest that the BPTF-hTERT axis maybe a novel and potential therapeutic target in HCC.,,
30420649,RUNX1,TF,Leukaemic cell,Cancer cell,Bone marrow,low-throughput + high-throughput,RNA–seq;RT-qPCR;Weston blot,Subtype-specific regulatory network rewiring in acute myeloid leukemia,RUNX1 is a transcription factor expressed in Leukaemic cell.,,
30420649,CEBPA,TF,Leukaemic cell,Cancer cell,Bone marrow,low-throughput + high-throughput,RNA–seq;RT-qPCR;Weston blot,Subtype-specific regulatory network rewiring in acute myeloid leukemia,CEBPA is a transcription factor expressed in Leukaemic cell.,,
30420690,GLI1,TF,Breast cancer cell,Cancer cell,Breast,low-throughput + high-throughput,qRT-PCR;Western blot;Co-immunoprecipitation;Luciferase assays;Sequencing technique,O-GlcNAcylation of GLI transcription factors in hyperglycemic conditions augments Hedgehog activity,GLI1 and GLI2 are transcription factors that control the progression of breast cancer under high glucose conditions,ABCB1;ABCG2,
30420690,GLI2,TF,Breast cancer cell,Cancer cell,Breast,low-throughput + high-throughput,qRT-PCR;Western blot;Co-immunoprecipitation;Luciferase assays;Sequencing technique,O-GlcNAcylation of GLI transcription factors in hyperglycemic conditions augments Hedgehog activity,GLI1 and GLI2 are transcription factors that control the progression of breast cancer under high glucose conditions,ABCB1;ABCG2,
30420690,SHH,TF,Breast cancer cell,Cancer cell,Breast,low-throughput + high-throughput,qRT-PCR;Western blot;Co-immunoprecipitation;Luciferase assays;Sequencing technique,O-GlcNAcylation of GLI transcription factors in hyperglycemic conditions augments Hedgehog activity,Enhancing the transcriptional activity of hedgehog(SHH) gene can increase the resistance of breast cancer cells,GLI2;GLI1,
